Name,Place_ID
6Yi Cafe,ChIJ41hkTA5LzDERdBV9pntuGl8
Strangers at 47,ChIJMes2_lpJzDERwaN-YKyU_gs
Loop Cafe,ChIJFV3n3UU1zDERlncUFuHKuv8
VCR,ChIJPYhalddJzDERgRWIgOgOTvA
Jam and Kaya Café,ChIJ-_0A5sRLzDERowJMalBYuYs
LOKL Coffee Co,ChIJE7jFVtJJzDERgZoAEKorgIA
Cafe ETC,ChIJzyaHPtBJzDERuxGq-CHuppU
Foremula Cafe,ChIJg-r5WSZMzDERPCJAhHckaIs
Common Grind,ChIJe9L75i5IzDERMuh8E0ulupE
Milligram - Coffee & Eatery,ChIJMyPZmqhOzDERw17qmUu-Q7g
The Great Cafe,ChIJyVGMg2hNzDERHcc_PssCVg4
ALLO by The Owls Cafe,ChIJ08pmaDtJzDER8TTJkkDC_p8
Cafe 96 Puchong | Cafe 96°C,ChIJ61bNu6m0zTERiUzdWArpxlI
Ra-Ft Café / Bistro Binjai 8 | Coffee Roasters,ChIJP0rPKNA3zDERPXdJrCl6Dr8
The Mechanic Cafe,ChIJSXTknc00zDEREEK-xYvowp8
De Brush Cafe,ChIJtZ_QZ7o1zDER_gNGe3LkywE
One Serambi Cafe,ChIJ6ZXkGPpNzDER3ddrCxAZ5k8
Feeka Coffee Roasters,ChIJoZHXWCo2zDERg8ElLFMydz4
POKOK KL Cafe,ChIJjWa-9jZJzDERjHoKv1DYGBA
Cafe:in House,ChIJW0w7UChIzDERWGflpMgxv20
Ra-Ft Café / Bistro Arcoris | Coffee Roasters,ChIJR8dsSfJIzDERa73fXOdQv88
"Fox Paradox Cafe, Ampang",ChIJEz4yYRM3zDERPeJBXCloKio
Ai Delicious Cafe,ChIJIzbu5_s5zDER_I5R2KljUms
Lisette's Café & Bakery @ Bangsar,ChIJmxWkt5VJzDERJJUH7Oag9Ig
Bricks Factory Cafe,ChIJkZmt8EVJzDERFJIS5XcrFmc
Sips & Bites Cafe,ChIJFfwjnI-yzTERQRXqWTlGLuw
Cappucino Garden Cafe,ChIJny7Mu15KzDERYVT6i6KWzJc
Signature Cafe,ChIJE3bNwz5PzDER8iwkHKW0kj0
Craft Cafe,ChIJrRSZFqM1zDER7-bjaG5b_vA
Belly & The Chef Cafe (Cheras),ChIJB8orZrA1zDERnI4Fg4jsV8c
Blackbixon Cafe & Restaurant - Jalan Inai,ChIJB6Lzswc3zDERUYLIIpe6PUk
New Chapter by The Owls Cafe,ChIJ9_dXF8FKzDERLF26RzAItQo
KLÉSIS Café Grocer,ChIJHR-isI9LzDEReP0r4MEF7bs
The Komunal Cafe Bukit Jelutong,ChIJOdrNZJ9NzDERww-LMrJ6bok
"Munching Mob Cafe, Bukit Jalil",ChIJ4ynTSO5KzDERQE6gzGryhzU
AMP Cafe,ChIJNR2hD6Q3zDER8nGdOZxTSKw
Posh Cafe Verve Suite Old Klang Road,ChIJi6xA1PBLzDERJfU9OpTBxfk
Yeah Man @ Wanderous Sheep Cafe,ChIJb2HsBjFPzDER-EUg50M8h7c
Friendship Cafe,ChIJc6cBUe5KzDER7OAkLYZVhL0
Uncle Lim's Cafe @Subang Parade,ChIJHWglZltMzDERjkWfTsqWuUU
Blackbixon Cafe & Restaurant - Jalan Inai,ChIJB6Lzswc3zDERUYLIIpe6PUk
New Chapter by The Owls Cafe,ChIJ9_dXF8FKzDERLF26RzAItQo
KLÉSIS Café Grocer,ChIJHR-isI9LzDEReP0r4MEF7bs
The Komunal Cafe Bukit Jelutong,ChIJOdrNZJ9NzDERww-LMrJ6bok
"Munching Mob Cafe, Bukit Jalil",ChIJ4ynTSO5KzDERQE6gzGryhzU
AMP Cafe,ChIJNR2hD6Q3zDER8nGdOZxTSKw
Posh Cafe Verve Suite Old Klang Road,ChIJi6xA1PBLzDERJfU9OpTBxfk
Yeah Man @ Wanderous Sheep Cafe,ChIJb2HsBjFPzDER-EUg50M8h7c
Uncle Lim's Cafe @Subang Parade,ChIJHWglZltMzDERjkWfTsqWuUU
JDV CAFE,ChIJV661whxNzDER6Z8LwApgOdk
Cafe.Waiting.Love Malaysia 等一個人咖啡 - Best Taiwanese Cafe Kota Damansara,ChIJ0Z5MrnVPzDER-5BOiPv32zM
AOOO Melbourne Cafe,ChIJp8GrJA9JzDERtM8SV0_I-g8
Thong Kee Cafe Connaught 溏记海南茶室,ChIJB_Asqio1zDERlLG8CH2BUaM
Koffie Craft - Dutch Restaurant & Café,ChIJfcmKKYBLzDERrVSZ89-rcg8
Timothy Cafe,ChIJ2wLFJSdJzDERyvXxrJuaGHo
Piccadilly Cafe,ChIJsU-kStizzTER8FQAS_nqBuE
Emilyns & Cafe,ChIJW16msVlNzDERQgKh6drTEH8
